gene	strand	aligned reads	num sites	locations
ENSMUSG00000030086	-	7	1	89383158
ENSMUSG00000043259	+	1	0	
ENSMUSG00000086474	-	11	1	79781977
ENSMUSG00000017499	+	5	1	98921892
ENSMUSG00000030583	-	1	0	
ENSMUSG00000038215	-	2	1	56531521
ENSMUSG00000041459	-	2	1	148616867
ENSMUSG00000021713	-	6	1	104205120
ENSMUSG00000022865	+	1	0	
ENSMUSG00000032842	-	2	1	46303229
ENSMUSG00000034333	+	2	1	88779661
ENSMUSG00000025436	-	24	1	126887247
ENSMUSG00000038023	+	4	0	
ENSMUSG00000058709	-	5	1	27158657
ENSMUSG00000039068	+	1	0	
ENSMUSG00000028973	+	5	1	24409947
ENSMUSG00000028364	-	2	1	63959787
ENSMUSG00000052144	+	3	0	
ENSMUSG00000024500	-	7	1	42645268
ENSMUSG00000041431	-	128	3	100779566,100779191,100778743
ENSMUSG00000010342	+	4	1	87555823
ENSMUSG00000029466	+	18	1	122444452
ENSMUSG00000018239	+	28	2	53333230,53333296
ENSMUSG00000023272	+	44	2	88826683,88826659
ENSMUSG00000023192	-	19	1	106644533
ENSMUSG00000025575	-	3	0	
ENSMUSG00000031858	-	5	1	70018560
ENSMUSG00000027238	-	2	1	121548306
ENSMUSG00000056394	+	3	1	13311426
ENSMUSG00000026630	+	3	1	191108945
ENSMUSG00000021306	-	3	1	13360910
ENSMUSG00000002227	-	5	1	104794831
ENSMUSG00000083698	-	1	0	
ENSMUSG00000020064	+	1	0	
ENSMUSG00000029141	+	6	1	31554038
ENSMUSG00000021636	-	2	0	
ENSMUSG00000035864	-	3	0	
ENSMUSG00000000538	-	1	0	
ENSMUSG00000047547	-	45	3	54593584,54593550,54592944
ENSMUSG00000020361	-	28	1	53261573
ENSMUSG00000031015	+	1	0	
ENSMUSG00000100153	+	1	0	
ENSMUSG00000029660	+	6	2	149470724,149470970
ENSMUSG00000058291	-	7	1	138606111
ENSMUSG00000004056	+	2	0	
ENSMUSG00000022841	+	9	2	20543907,20544048
ENSMUSG00000003099	-	6	1	17004651
ENSMUSG00000071350	-	5	1	59402008
ENSMUSG00000027751	+	59	1	54728763
ENSMUSG00000050856	-	40	1	108433252
ENSMUSG00000055447	+	2	1	49911081
ENSMUSG00000025470	+	5	1	140040601
ENSMUSG00000052605	-	1	0	
ENSMUSG00000061461	+	14	1	53278540
ENSMUSG00000029127	-	1	0	
ENSMUSG00000026603	-	2	1	189880491
ENSMUSG00000042660	+	3	1	36763721
ENSMUSG00000035439	-	7	1	71251123
ENSMUSG00000025001	+	2	1	38968277
ENSMUSG00000032112	-	16	1	44403759
ENSMUSG00000071014	-	15	1	40270661
ENSMUSG00000018169	-	9	1	78755881
ENSMUSG00000006191	-	2	1	29325300
ENSMUSG00000026305	+	2	1	91117315
ENSMUSG00000037149	-	13	1	13219306
ENSMUSG00000029999	+	10	1	86272479
ENSMUSG00000027180	+	2	0	
ENSMUSG00000116097	-	1	0	
ENSMUSG00000032040	-	4	1	35124407
ENSMUSG00000078954	+	2	1	84772204
ENSMUSG00000051403	-	8	1	19530799
ENSMUSG00000020482	-	2	1	5528886
ENSMUSG00000022789	-	5	1	16313382
ENSMUSG00000023852	+	9	1	17393968
ENSMUSG00000014313	-	23	1	35931979
ENSMUSG00000006715	-	5	1	24751851
ENSMUSG00000021215	-	2	1	3882560
ENSMUSG00000032350	+	1	0	
ENSMUSG00000026074	+	1	0	
ENSMUSG00000018583	+	1	0	
ENSMUSG00000029029	+	2	0	
ENSMUSG00000020098	+	6	1	61094326
ENSMUSG00000038768	+	4	1	181060750
ENSMUSG00000036835	-	24	1	30561864
ENSMUSG00000037710	-	33	2	71330721,71330491
ENSMUSG00000059423	-	1	0	
ENSMUSG00000074895	+	49	1	54788459
ENSMUSG00000038569	-	1	0	
ENSMUSG00000029428	-	1	0	
ENSMUSG00000042705	+	1	0	
ENSMUSG00000114241	+	1	0	
ENSMUSG00000085315	+	1	0	
ENSMUSG00000114115	+	1	0	
ENSMUSG00000039577	+	7	1	152563181
ENSMUSG00000004980	-	20	2	51462759,51461120
ENSMUSG00000018040	-	7	1	83115845
ENSMUSG00000028010	-	8	1	129824915
ENSMUSG00000037344	-	3	1	137314557
ENSMUSG00000040102	+	1	0	
ENSMUSG00000030714	+	29	1	126672779
ENSMUSG00000046861	+	5	1	117004180
ENSMUSG00000041229	+	2	0	
ENSMUSG00000030670	-	1	0	
ENSMUSG00000045007	+	11	1	101161787
ENSMUSG00000016252	-	114	1	174461074
ENSMUSG00000020282	-	17	1	32209584
ENSMUSG00000067150	+	1	0	
ENSMUSG00000101655	-	1	0	
ENSMUSG00000021143	+	2	1	113072139
ENSMUSG00000036285	-	3	1	77294250
ENSMUSG00000040048	-	20	1	24722059
ENSMUSG00000021947	-	7	2	57275033,57274991
ENSMUSG00000002031	+	46	1	44790895
ENSMUSG00000052911	+	5	1	108490530
ENSMUSG00000022148	+	1	0	
ENSMUSG00000031201	+	3	1	75450141
ENSMUSG00000040746	+	1	0	
ENSMUSG00000024231	+	3	1	3435404
ENSMUSG00000020255	+	67	6	83366530,83366119,83367431,83366214,83366443,83366465
ENSMUSG00000030407	-	1	0	
ENSMUSG00000028378	-	7	1	58966518
ENSMUSG00000003062	-	4	1	19357675
ENSMUSG00000033987	-	1	0	
ENSMUSG00000032582	-	11	1	107773558
ENSMUSG00000025142	+	18	1	120709447
ENSMUSG00000010376	-	7	1	55662262
ENSMUSG00000021638	-	3	0	
ENSMUSG00000024212	-	1	0	
ENSMUSG00000014771	-	7	1	15521591
ENSMUSG00000021376	-	18	1	47025176
ENSMUSG00000032383	+	34	2	66066624,66066600
ENSMUSG00000024392	+	13	1	35147307
ENSMUSG00000056752	-	1	0	
ENSMUSG00000031156	+	1	0	
ENSMUSG00000050121	-	6	2	41061709,41063419
ENSMUSG00000034586	-	2	1	115347707
ENSMUSG00000027404	-	1	0	
ENSMUSG00000080268	+	8	1	5049912
ENSMUSG00000014426	-	12	1	12227625
ENSMUSG00000033316	+	1	0	
ENSMUSG00000022204	+	11	1	55024131
ENSMUSG00000037349	-	1	0	
ENSMUSG00000021476	+	1	0	
ENSMUSG00000071528	-	7	1	47083463
ENSMUSG00000091625	-	12	1	56701062
ENSMUSG00000026434	+	1	0	
ENSMUSG00000000563	-	11	1	105942697
ENSMUSG00000110485	-	1	0	
ENSMUSG00000018765	+	14	1	69653297
ENSMUSG00000002981	-	5	1	19633246
ENSMUSG00000031357	-	1	0	
ENSMUSG00000064090	-	1	0	
ENSMUSG00000067338	+	12	1	145621477
ENSMUSG00000018379	+	1	0	
ENSMUSG00000113772	+	1	0	
ENSMUSG00000021607	+	2	1	73332176
ENSMUSG00000024970	-	2	1	7357685
ENSMUSG00000084839	-	1	0	
ENSMUSG00000086953	+	1	0	
ENSMUSG00000045519	-	8	2	20352580,20352519
ENSMUSG00000029432	+	5	1	129758325
ENSMUSG00000013997	-	2	0	
ENSMUSG00000068762	-	1	0	
ENSMUSG00000014769	-	62	2	15475958,15475702
ENSMUSG00000037600	+	3	0	
ENSMUSG00000024604	+	23	2	60572725,60572817
ENSMUSG00000022507	+	2	0	
ENSMUSG00000037159	+	42	2	40466520,40466811
ENSMUSG00000028833	-	1	0	
ENSMUSG00000021737	-	23	1	14112184
ENSMUSG00000011832	+	1	0	
ENSMUSG00000040605	+	1	0	
ENSMUSG00000020828	+	4	1	70558110
ENSMUSG00000038975	-	1	0	
ENSMUSG00000114389	-	1	0	
ENSMUSG00000027808	-	2	0	
ENSMUSG00000028475	+	5	1	43759465
ENSMUSG00000037058	+	24	3	35617186,35616428,35616547
ENSMUSG00000091091	-	1	0	
ENSMUSG00000032056	+	350	9	51119611,51119915,51119590,51119797,51119826,51119845,51119941,51119707,51119571
ENSMUSG00000038712	+	44	2	95296164,95296025
ENSMUSG00000026683	-	23	1	169498310
ENSMUSG00000005882	-	6	2	155846893,155847953
ENSMUSG00000020325	+	1	0	
ENSMUSG00000028453	-	1	0	
ENSMUSG00000022023	-	1	0	
ENSMUSG00000034088	-	17	1	93407761
ENSMUSG00000063882	-	21	1	116066965
ENSMUSG00000031781	-	26	1	94822560
ENSMUSG00000031154	+	9	2	7874875,7875287
ENSMUSG00000022770	+	1	0	
ENSMUSG00000030615	-	5	1	90450704
ENSMUSG00000021079	-	37	2	71123171,71123265
ENSMUSG00000021238	-	1	0	
ENSMUSG00000001416	+	32	1	88321767
ENSMUSG00000029415	-	1	0	
ENSMUSG00000031774	-	11	2	94574939,94575496
ENSMUSG00000004266	-	1	0	
ENSMUSG00000028540	-	1	0	
ENSMUSG00000028647	+	10	3	123911246,123911317,123912252
ENSMUSG00000047466	-	2	0	
ENSMUSG00000026199	+	2	0	
ENSMUSG00000035757	+	1	0	
ENSMUSG00000024552	-	1	0	
ENSMUSG00000022096	+	1	0	
ENSMUSG00000100627	-	1	0	
ENSMUSG00000030058	+	15	1	87912530
ENSMUSG00000031563	-	13	2	47828554,47828573
ENSMUSG00000046032	-	2	0	
ENSMUSG00000028692	-	41	1	116636509
ENSMUSG00000029649	+	15	1	147875779
ENSMUSG00000024081	-	19	1	78919745
ENSMUSG00000074677	-	2	1	15795152
ENSMUSG00000021905	-	20	1	32082871
ENSMUSG00000050612	-	5	1	65637502
ENSMUSG00000038893	+	4	1	95381872
ENSMUSG00000048120	+	5	1	40739794
ENSMUSG00000028187	-	9	2	146506343,146506414
ENSMUSG00000032602	+	2	1	108684641
ENSMUSG00000022568	-	1	0	
ENSMUSG00000084793	-	1	0	
ENSMUSG00000026610	+	1	0	
ENSMUSG00000028012	-	1	0	
ENSMUSG00000024740	+	21	1	10629822
ENSMUSG00000086727	-	53	2	31203155,31202935
ENSMUSG00000012117	-	1	0	
ENSMUSG00000030522	+	2	1	64338160
ENSMUSG00000039242	+	5	1	13999074
ENSMUSG00000000296	-	1	0	
ENSMUSG00000041623	+	7	1	113694647
ENSMUSG00000053040	-	8	1	66818919
ENSMUSG00000007603	+	17	2	56770093,56769841
ENSMUSG00000061080	+	1	0	
ENSMUSG00000028463	+	7	1	43513729
ENSMUSG00000052369	+	6	1	97970275
ENSMUSG00000032586	+	7	1	107971530
ENSMUSG00000021051	-	2	0	
ENSMUSG00000018126	-	1	0	
ENSMUSG00000045664	-	4	1	5917560
ENSMUSG00000016253	+	4	1	174427503
ENSMUSG00000024911	+	2	1	5465052
ENSMUSG00000021758	-	9	1	112598332
ENSMUSG00000036561	+	1	0	
ENSMUSG00000001247	-	12	1	30957776
ENSMUSG00000021670	-	4	1	96649333
ENSMUSG00000020462	-	8	1	29221817
ENSMUSG00000021745	+	3	1	12238561
ENSMUSG00000025503	+	18	1	141402968
ENSMUSG00000026360	-	125	3	144000989,144000706,144001008
ENSMUSG00000043541	-	5	2	145174874,145174834
ENSMUSG00000053119	+	6	2	71580166,71581576
ENSMUSG00000021428	+	28	2	38061429,38061048
ENSMUSG00000023572	+	96	1	121016892
ENSMUSG00000070677	+	11	2	95485101,95485587
ENSMUSG00000002944	-	3	0	
ENSMUSG00000054409	-	1	0	
ENSMUSG00000004085	+	1	0	
ENSMUSG00000109405	+	1	0	
ENSMUSG00000034066	+	2	1	93621782
ENSMUSG00000059363	-	4	2	24261755,24261853
ENSMUSG00000039910	+	1	0	
ENSMUSG00000032042	+	1	0	
ENSMUSG00000017721	+	1	0	
ENSMUSG00000038172	-	2	0	
ENSMUSG00000021096	+	1	0	
ENSMUSG00000019795	-	4	1	7637732
ENSMUSG00000030216	-	7	1	136813655
ENSMUSG00000020949	-	5	1	65062435
ENSMUSG00000024583	-	13	1	63664105
ENSMUSG00000039063	-	8	2	6189213,6188818
ENSMUSG00000005802	-	2	0	
ENSMUSG00000021216	+	3	0	
ENSMUSG00000031592	+	1	0	
ENSMUSG00000005672	+	1	0	
ENSMUSG00000025813	-	1	0	
ENSMUSG00000039108	+	23	2	180035461,180035147
ENSMUSG00000041028	-	9	2	37120816,37121947
ENSMUSG00000042675	+	5	1	126780510
ENSMUSG00000015747	-	3	0	
ENSMUSG00000021466	-	1	0	
ENSMUSG00000041287	+	3	1	69656727
ENSMUSG00000027425	+	6	1	144407655
ENSMUSG00000036644	+	2	1	50172030
ENSMUSG00000030739	-	2	1	44605802
ENSMUSG00000021258	+	1	0	
ENSMUSG00000033470	-	1	0	
ENSMUSG00000039197	+	4	0	
ENSMUSG00000024260	+	4	1	31723063
ENSMUSG00000041895	-	1	0	
ENSMUSG00000025175	+	2	1	121450484
ENSMUSG00000112343	-	1	0	
ENSMUSG00000020432	-	3	1	3917191
ENSMUSG00000002076	-	9	1	31946081
ENSMUSG00000025066	+	49	1	47735529
ENSMUSG00000015776	-	14	1	26905266
ENSMUSG00000042684	-	1	0	
ENSMUSG00000026643	+	2	1	3326203
ENSMUSG00000096188	-	1	0	
ENSMUSG00000001767	-	85	2	145918258,145918380
ENSMUSG00000074903	+	3	0	
ENSMUSG00000024601	+	2	0	
ENSMUSG00000034707	+	1	0	
ENSMUSG00000030689	-	21	2	126852432,126851581
ENSMUSG00000037628	+	1	0	
ENSMUSG00000031585	+	10	2	33776974,33777169
ENSMUSG00000096974	+	1	0	
ENSMUSG00000017781	+	5	1	75626727
ENSMUSG00000021068	-	10	1	70018738
ENSMUSG00000056941	-	2	0	
ENSMUSG00000068876	-	2	1	94760068
ENSMUSG00000039497	-	2	1	34151389
ENSMUSG00000066637	+	5	1	9036185
ENSMUSG00000023089	-	4	1	24518661
ENSMUSG00000022674	-	1	0	
ENSMUSG00000034349	+	49	1	69034623
ENSMUSG00000045136	-	18	1	34127220
ENSMUSG00000019809	-	4	2	13524772,13524130
ENSMUSG00000040383	-	3	1	114101171
ENSMUSG00000026213	+	1	0	
ENSMUSG00000062908	-	4	1	153922355
ENSMUSG00000041355	+	1	0	
ENSMUSG00000040151	-	1	0	
ENSMUSG00000020022	+	4	1	94220949
ENSMUSG00000058013	+	3	0	
ENSMUSG00000047417	-	6	1	80541659
ENSMUSG00000025223	-	10	1	46032592
ENSMUSG00000024841	+	2	0	
ENSMUSG00000017737	+	1	0	
ENSMUSG00000002997	-	2	1	31958475
ENSMUSG00000026605	-	11	3	189641980,189641872,189641607
ENSMUSG00000032115	+	6	1	44392360
ENSMUSG00000094296	+	2	0	
ENSMUSG00000024097	-	11	1	80201309
ENSMUSG00000035642	-	1	0	
ENSMUSG00000025171	+	2	1	42034641
ENSMUSG00000093424	-	5	1	95311377
ENSMUSG00000022999	-	10	2	98903916,98903936
ENSMUSG00000018287	-	14	2	70663787,70663765
ENSMUSG00000050232	-	2	1	101731534
ENSMUSG00000113115	+	1	0	
ENSMUSG00000030342	-	16	1	125460265
ENSMUSG00000030291	+	28	2	146650602,146650582
ENSMUSG00000032902	+	5	1	104656117
ENSMUSG00000028391	-	1	0	
ENSMUSG00000030397	-	1	0	
ENSMUSG00000029093	-	5	1	36150201
ENSMUSG00000034329	-	3	0	
ENSMUSG00000024191	+	9	1	26792521
ENSMUSG00000025558	-	4	0	
ENSMUSG00000114370	-	1	0	
ENSMUSG00000028494	-	4	2	86648385,86656704
ENSMUSG00000000579	+	13	1	6607900
ENSMUSG00000001942	+	3	1	37646896
ENSMUSG00000057133	-	2	1	161029836
ENSMUSG00000009569	+	2	0	
ENSMUSG00000027420	-	3	1	143826525
ENSMUSG00000064284	-	2	1	85806971
ENSMUSG00000040028	-	4	1	4289503
ENSMUSG00000021285	-	6	1	111828457
ENSMUSG00000004508	+	3	0	
ENSMUSG00000041775	-	5	1	138835858
ENSMUSG00000050323	-	6	1	11051041
ENSMUSG00000074227	-	8	1	29256340
ENSMUSG00000045752	+	2	1	143071086
ENSMUSG00000078974	-	61	4	16501730,16501641,16501615,16501592
ENSMUSG00000029209	-	3	1	69575000
ENSMUSG00000058979	-	1	0	
ENSMUSG00000001150	+	14	1	76515857
ENSMUSG00000052942	-	1	0	
ENSMUSG00000032312	-	6	2	57626645,57626918
ENSMUSG00000007739	+	15	1	23003337
ENSMUSG00000029426	-	1	0	
ENSMUSG00000031622	+	11	2	72758203,72739903
ENSMUSG00000050912	+	1	0	
ENSMUSG00000025885	+	22	3	74770805,74441382,74441241
ENSMUSG00000035247	-	1	0	
ENSMUSG00000020232	-	13	1	81346045
ENSMUSG00000043633	-	1	0	
ENSMUSG00000074913	+	3	1	26888656
ENSMUSG00000031482	-	7	1	22377754
ENSMUSG00000029026	-	4	1	154058280
ENSMUSG00000058594	-	25	1	11742572
ENSMUSG00000026880	-	2	1	35313984
ENSMUSG00000016664	-	9	2	83376135,83375610
ENSMUSG00000035637	+	10	1	44990699
ENSMUSG00000020079	-	3	1	62429377
ENSMUSG00000006576	+	14	1	75559083
ENSMUSG00000103510	-	1	0	
ENSMUSG00000001289	+	30	1	102331490
ENSMUSG00000048707	+	4	1	25269883
ENSMUSG00000030766	-	3	1	123279270
ENSMUSG00000000399	-	42	1	126821953
ENSMUSG00000033054	+	3	0	
ENSMUSG00000078612	+	9	2	105014394,105016861
ENSMUSG00000032329	+	6	1	56490154
ENSMUSG00000021140	+	1	0	
ENSMUSG00000031960	+	10	1	111055569
ENSMUSG00000035325	-	14	1	100361648
ENSMUSG00000020358	-	15	1	51600875
ENSMUSG00000034636	-	1	0	
ENSMUSG00000053470	-	1	0	
ENSMUSG00000071723	+	1	0	
ENSMUSG00000040860	-	1	0	
ENSMUSG00000007080	+	5	1	110337453
ENSMUSG00000032478	+	6	1	109842956
ENSMUSG00000038304	-	11	3	96800244,96800154,96798758
ENSMUSG00000057135	-	6	1	70790930
ENSMUSG00000015094	+	1	0	
ENSMUSG00000066152	+	3	1	62298411
ENSMUSG00000028402	-	4	1	81278504
ENSMUSG00000015668	-	13	1	100622882
ENSMUSG00000032580	-	1	0	
ENSMUSG00000031278	-	1	0	
ENSMUSG00000029918	-	4	1	39802188
ENSMUSG00000030306	-	2	1	148411073
ENSMUSG00000028035	-	13	2	152184089,152183914
ENSMUSG00000021895	+	1	0	
ENSMUSG00000054150	-	4	1	104932030
ENSMUSG00000029580	-	4	1	142903122
ENSMUSG00000035638	-	1	0	
ENSMUSG00000085519	+	1	0	
ENSMUSG00000025395	+	1	0	
ENSMUSG00000060739	-	11	1	97130996
ENSMUSG00000070837	+	7	1	7003084
ENSMUSG00000027502	+	12	2	172468867,172469906
ENSMUSG00000038312	-	9	1	155702016
ENSMUSG00000040359	-	1	0	
ENSMUSG00000004937	-	5	1	81044074
ENSMUSG00000021028	-	5	1	56328319
ENSMUSG00000022064	+	4	1	99254494
ENSMUSG00000036580	+	3	1	55137315
ENSMUSG00000020697	+	1	0	
ENSMUSG00000032750	-	5	1	74966839
ENSMUSG00000036620	+	2	1	50235103
ENSMUSG00000107898	-	1	0	
ENSMUSG00000009079	-	18	2	5069692,5069896
ENSMUSG00000020692	-	4	1	82900769
ENSMUSG00000027654	+	1	0	
ENSMUSG00000085451	-	1	0	
ENSMUSG00000022607	-	6	2	73205331,73205101
ENSMUSG00000002833	+	10	1	56100605
ENSMUSG00000035024	+	3	1	27095315
ENSMUSG00000029388	-	33	1	124570652
ENSMUSG00000031467	+	2	0	
ENSMUSG00000016559	-	218	6	116023057,116022852,116022290,116023360,116023315,116022889
ENSMUSG00000037938	+	3	1	129133455
ENSMUSG00000018736	-	8	1	68821433
ENSMUSG00000107528	-	1	0	
ENSMUSG00000022947	+	1	0	
ENSMUSG00000030751	-	34	1	114264607
ENSMUSG00000032480	-	9	1	110084319
ENSMUSG00000097762	-	2	0	
ENSMUSG00000066892	-	2	0	
ENSMUSG00000034263	+	2	0	
ENSMUSG00000020864	+	3	1	94339923
ENSMUSG00000001642	-	9	1	34303933
ENSMUSG00000008496	-	1	0	
ENSMUSG00000033020	+	28	1	79151767
ENSMUSG00000114550	-	1	0	
ENSMUSG00000015672	-	23	1	14610301
ENSMUSG00000002910	-	10	1	70835128
ENSMUSG00000031342	+	1	0	
ENSMUSG00000027357	+	3	1	132866786
ENSMUSG00000078796	+	2	1	16096326
ENSMUSG00000020715	-	4	0	
ENSMUSG00000116284	-	1	0	
ENSMUSG00000050821	+	3	1	20703040
ENSMUSG00000019998	+	2	0	
ENSMUSG00000011831	-	1	0	
ENSMUSG00000020677	+	2	0	
ENSMUSG00000022214	+	8	1	55570064
ENSMUSG00000024766	-	1	0	
ENSMUSG00000078786	+	1	0	
ENSMUSG00000039000	+	7	2	29675341,29647522
ENSMUSG00000097715	-	2	1	12617337
ENSMUSG00000025868	+	8	1	54591149
ENSMUSG00000013662	-	11	2	32672562,32673269
ENSMUSG00000034892	-	10	1	69157721
ENSMUSG00000052727	-	3	1	99425576
ENSMUSG00000063785	+	5	1	48282450
ENSMUSG00000020219	-	32	1	80899908
ENSMUSG00000033917	-	4	1	118688555
ENSMUSG00000039330	-	32	1	5390046
ENSMUSG00000031539	-	4	1	22789264
ENSMUSG00000027615	-	2	1	19996163
ENSMUSG00000032192	+	1	0	
ENSMUSG00000005656	-	10	1	54746345
ENSMUSG00000062169	+	16	1	181166386
ENSMUSG00000059493	-	1	0	
ENSMUSG00000085264	-	1	0	
ENSMUSG00000033392	+	2	1	113919680
ENSMUSG00000036333	+	2	0	
ENSMUSG00000066382	+	6	1	106516004
ENSMUSG00000047797	+	1	0	
ENSMUSG00000031534	-	2	0	
ENSMUSG00000029657	-	14	1	149616842
ENSMUSG00000019952	+	3	1	99198072
ENSMUSG00000021692	+	8	1	106958920
ENSMUSG00000025876	+	3	1	55006018
ENSMUSG00000059714	+	5	1	35832782
ENSMUSG00000020397	+	21	2	46441529,46441591
ENSMUSG00000105078	+	1	0	
ENSMUSG00000038909	-	4	1	95274258
ENSMUSG00000006205	+	5	1	130985658
ENSMUSG00000032899	-	5	1	131299141
ENSMUSG00000036672	-	2	1	105844668
ENSMUSG00000072640	+	6	2	78839275,78839389
ENSMUSG00000040521	-	7	1	127022342
ENSMUSG00000003444	-	31	1	28386735
ENSMUSG00000020514	+	27	1	58179566
ENSMUSG00000074452	+	3	1	35646458
ENSMUSG00000058388	+	1	0	
ENSMUSG00000042793	-	1	0	
ENSMUSG00000030616	+	1	0	
ENSMUSG00000004591	-	2	0	
ENSMUSG00000028691	+	132	2	116699515,116699996
ENSMUSG00000027708	-	10	1	35895225
ENSMUSG00000061559	-	5	1	54717161
ENSMUSG00000047407	-	1	0	
ENSMUSG00000106779	+	2	0	
ENSMUSG00000112286	+	1	0	
ENSMUSG00000021687	-	4	0	
ENSMUSG00000079435	+	11	2	134588056,134587998
ENSMUSG00000069729	+	1	0	
ENSMUSG00000024986	+	10	3	37440067,37440602,37440672
ENSMUSG00000032218	-	17	2	70407691,70407789
ENSMUSG00000034667	-	1	0	
ENSMUSG00000054162	+	2	0	
ENSMUSG00000038014	-	1	0	
ENSMUSG00000051606	+	6	1	47008705
ENSMUSG00000033219	-	1	0	
ENSMUSG00000020107	-	12	2	59987907,59988589
ENSMUSG00000016758	+	15	1	83544632
ENSMUSG00000022503	+	1	0	
ENSMUSG00000004936	-	13	1	64185783
ENSMUSG00000041126	-	37	1	6428137
ENSMUSG00000018209	+	1	0	
ENSMUSG00000020038	-	17	1	85131699
ENSMUSG00000099615	+	2	1	117663677
ENSMUSG00000031820	+	8	1	71404545
ENSMUSG00000033307	-	15	1	75859352
ENSMUSG00000042487	+	14	1	75466432
ENSMUSG00000042477	-	13	1	126715996
ENSMUSG00000032366	-	5	2	67027893,67027972
ENSMUSG00000042279	+	1157	2	115950234,115950214
ENSMUSG00000030946	+	4	1	132706409
ENSMUSG00000016626	+	195	1	107198103
ENSMUSG00000020780	-	5	1	116245165
ENSMUSG00000056367	+	2	1	25777309
ENSMUSG00000028617	-	43	2	107233513,107233532
ENSMUSG00000041840	-	1	0	
ENSMUSG00000052738	+	4	1	73276907
ENSMUSG00000064141	-	2	1	120930136
ENSMUSG00000057541	-	2	0	
ENSMUSG00000031158	+	6	1	7906863
ENSMUSG00000019848	+	1	0	
ENSMUSG00000073002	-	1	0	
ENSMUSG00000030879	-	14	2	105809684,105809317
ENSMUSG00000037617	+	7	1	36235177
ENSMUSG00000005698	+	6	1	105682922
ENSMUSG00000025265	+	7	2	151089097,151089521
ENSMUSG00000054087	-	166	3	109323234,109322873,109336107
ENSMUSG00000023904	+	13	1	23675227
ENSMUSG00000095704	+	1	0	
ENSMUSG00000047888	+	1	0	
ENSMUSG00000020838	+	4	1	77032340
ENSMUSG00000056458	-	9	1	110807802
ENSMUSG00000026608	-	2	0	
ENSMUSG00000004096	+	13	2	14510551,14510374
ENSMUSG00000022010	+	16	2	76507759,76441616
ENSMUSG00000001151	-	30	1	76351264
ENSMUSG00000027317	-	2	0	
ENSMUSG00000031917	+	10	1	107059029
ENSMUSG00000047141	-	2	0	
ENSMUSG00000021868	+	4	1	25700468
ENSMUSG00000032116	-	6	1	36732425
ENSMUSG00000102530	-	1	0	
ENSMUSG00000050471	-	18	1	35217240
ENSMUSG00000036372	+	38	1	10207818
ENSMUSG00000034871	+	28	2	106748292,106753377
ENSMUSG00000035152	+	2	0	
ENSMUSG00000019838	-	2	0	
ENSMUSG00000005514	+	3	1	135735326
ENSMUSG00000020063	-	2	0	
ENSMUSG00000034035	+	1	0	
ENSMUSG00000114010	+	13	2	67658509,67683587
ENSMUSG00000061666	-	17	3	87033887,87033866,87035053
ENSMUSG00000027642	+	8	1	157326057
ENSMUSG00000032977	-	10	1	77488172
ENSMUSG00000040681	-	46	1	96121587
ENSMUSG00000031023	+	9	2	109712186,109711965
ENSMUSG00000010592	-	12	2	50279393,50281181
ENSMUSG00000044768	-	3	1	97643906
ENSMUSG00000027365	-	1	0	
ENSMUSG00000050747	-	16	1	36860690
ENSMUSG00000070324	-	16	2	109378399,109378742
ENSMUSG00000066026	+	8	1	144927642
ENSMUSG00000060098	+	22	1	106251694
ENSMUSG00000002825	+	4	2	21420259,21420279
ENSMUSG00000027523	+	3	1	174346744
ENSMUSG00000029767	+	2	1	29376668
ENSMUSG00000040785	+	1	0	
ENSMUSG00000026135	-	4	1	74566682
ENSMUSG00000026361	-	1	0	
ENSMUSG00000020923	-	5	1	102305990
ENSMUSG00000020308	+	5	1	79676127
ENSMUSG00000043372	+	8	1	103139191
ENSMUSG00000027300	-	1	0	
ENSMUSG00000026708	+	3	1	161086329
ENSMUSG00000018411	+	1	0	
ENSMUSG00000056162	-	2	1	84610508
ENSMUSG00000040859	+	5	2	129488460,129488498
ENSMUSG00000020120	-	1	0	
ENSMUSG00000032615	+	3	1	59876533
ENSMUSG00000097313	-	2	0	
ENSMUSG00000051169	-	1	0	
ENSMUSG00000040952	+	8	1	24889806
ENSMUSG00000001786	+	7	1	86048324
ENSMUSG00000036980	-	3	1	138178619
ENSMUSG00000057110	+	1	0	
ENSMUSG00000029725	+	4	1	137780110
ENSMUSG00000028479	-	3	1	44036825
ENSMUSG00000112018	+	1	0	
ENSMUSG00000026273	-	20	1	93301225
ENSMUSG00000022323	-	3	1	34484021
ENSMUSG00000046229	-	9	1	156311852
ENSMUSG00000038844	-	4	1	142666755
ENSMUSG00000061544	+	1	0	
ENSMUSG00000071359	-	1	0	
ENSMUSG00000074785	-	2	0	
ENSMUSG00000014867	-	18	3	26920825,26921725,26920037
ENSMUSG00000027287	+	1	0	
ENSMUSG00000026558	-	30	1	167226078
ENSMUSG00000025135	+	15	2	120605773,120605676
ENSMUSG00000057969	-	1	0	
ENSMUSG00000044447	-	6	1	67878165
ENSMUSG00000035674	+	8	1	3620154
ENSMUSG00000004356	-	3	1	88746606
ENSMUSG00000017428	+	4	1	80471966
ENSMUSG00000029602	+	1	0	
ENSMUSG00000026766	-	22	1	50279880
ENSMUSG00000038628	+	10	1	181868610
ENSMUSG00000079700	+	1	0	
ENSMUSG00000087305	-	1	0	
ENSMUSG00000022620	-	1	0	
ENSMUSG00000086262	-	3	1	131000870
